Model,Train Time (s),Latency (ms/1k),RAM Usage (MB),Accuracy (%),Weighted Precision (%),Weighted Recall (%),Weighted F1 (%),Macro F1 (%)
Logistic Regression,1.28,31.6,1502.2,34.15,71.14,34.15,43.64,15.14
Decision Tree,1.81,1.94,1381.8,26.4,71.62,26.4,34.23,14.62
Random Forest (CPU),2.52,35.22,1445.0,41.66,71.92,41.66,49.5,18.73
LightGBM,2.33,7.22,1452.4,39.76,73.18,39.76,48.3,19.51
XGBoost,3.33,12.55,1608.0,79.19,73.56,79.19,70.0,14.75
CatBoost,5.67,7.7,1733.8,34.3,72.2,34.3,43.32,16.31
Random Forest (Spark MLlib),49.89,140.76,1012.2,78.88,75.4,78.88,69.57,27.8
